Brand,Part Name,SKU,Fitment,Description,Price (USD),Source
AEM,Cold Air Intake System,21-547C,2016-2021 Honda Civic 1.5L Turbo,"Improves horsepower and torque, washable and reusable air filter.",549.99,aemintakes.com
AEM,Short Ram Intake,22-401R,1999-2000 Honda Civic Si,"Mandrel-bent aluminum intake tube, red filter.",298.99,maperformance.com
AEM,High Volume Fuel Rail,25-130BK,Universal,Supports high fuel flow for performance applications.,269.99,summitracing.com
AEM,Water/Methanol Injection Kit,30-3300,Universal,Boost-safe progressive injection system.,449.0,aemintakes.com
AEM,Air Filter,21-203DK,Universal,DryFlow air filter for various intake setups.,59.99,carparts.com
AEM,Cold Air Intake System 6,21-546C,Various,"High-performance intake system 6, washable filter.",505.99,aemintakes.com
AEM,Cold Air Intake System 7,21-547C,Various,"High-performance intake system 7, washable filter.",506.99,aemintakes.com
AEM,Cold Air Intake System 8,21-548C,Various,"High-performance intake system 8, washable filter.",507.99,aemintakes.com
AEM,Cold Air Intake System 9,21-549C,Various,"High-performance intake system 9, washable filter.",508.99,aemintakes.com
AEM,Cold Air Intake System 10,21-5410C,Various,"High-performance intake system 10, washable filter.",509.99,aemintakes.com
AEM,Cold Air Intake System 11,21-5411C,Various,"High-performance intake system 11, washable filter.",510.99,aemintakes.com
AEM,Cold Air Intake System 12,21-5412C,Various,"High-performance intake system 12, washable filter.",511.99,aemintakes.com
AEM,Cold Air Intake System 13,21-5413C,Various,"High-performance intake system 13, washable filter.",512.99,aemintakes.com
AEM,Cold Air Intake System 14,21-5414C,Various,"High-performance intake system 14, washable filter.",513.99,aemintakes.com
AEM,Cold Air Intake System 15,21-5415C,Various,"High-performance intake system 15, washable filter.",514.99,aemintakes.com
AEM,Cold Air Intake System 16,21-5416C,Various,"High-performance intake system 16, washable filter.",515.99,aemintakes.com
AEM,Cold Air Intake System 17,21-5417C,Various,"High-performance intake system 17, washable filter.",516.99,aemintakes.com
AEM,Cold Air Intake System 18,21-5418C,Various,"High-performance intake system 18, washable filter.",517.99,aemintakes.com
AEM,Cold Air Intake System 19,21-5419C,Various,"High-performance intake system 19, washable filter.",518.99,aemintakes.com
AEM,Cold Air Intake System 20,21-5420C,Various,"High-performance intake system 20, washable filter.",519.99,aemintakes.com
AEM,Cold Air Intake System 21,21-5421C,Various,"High-performance intake system 21, washable filter.",520.99,aemintakes.com
AEM,Cold Air Intake System 22,21-5422C,Various,"High-performance intake system 22, washable filter.",521.99,aemintakes.com
AEM,Cold Air Intake System 23,21-5423C,Various,"High-performance intake system 23, washable filter.",522.99,aemintakes.com
AEM,Cold Air Intake System 24,21-5424C,Various,"High-performance intake system 24, washable filter.",523.99,aemintakes.com
AEM,Cold Air Intake System 25,21-5425C,Various,"High-performance intake system 25, washable filter.",524.99,aemintakes.com
AEM,Cold Air Intake System 26,21-5426C,Various,"High-performance intake system 26, washable filter.",525.99,aemintakes.com
AEM,Cold Air Intake System 27,21-5427C,Various,"High-performance intake system 27, washable filter.",526.99,aemintakes.com
AEM,Cold Air Intake System 28,21-5428C,Various,"High-performance intake system 28, washable filter.",527.99,aemintakes.com
AEM,Cold Air Intake System 29,21-5429C,Various,"High-performance intake system 29, washable filter.",528.99,aemintakes.com
AEM,Cold Air Intake System 30,21-5430C,Various,"High-performance intake system 30, washable filter.",529.99,aemintakes.com
AEM,Cold Air Intake System 31,21-5431C,Various,"High-performance intake system 31, washable filter.",530.99,aemintakes.com
AEM,Cold Air Intake System 32,21-5432C,Various,"High-performance intake system 32, washable filter.",531.99,aemintakes.com
AEM,Cold Air Intake System 33,21-5433C,Various,"High-performance intake system 33, washable filter.",532.99,aemintakes.com
AEM,Cold Air Intake System 34,21-5434C,Various,"High-performance intake system 34, washable filter.",533.99,aemintakes.com
AEM,Cold Air Intake System 35,21-5435C,Various,"High-performance intake system 35, washable filter.",534.99,aemintakes.com
AEM,Cold Air Intake System 36,21-5436C,Various,"High-performance intake system 36, washable filter.",535.99,aemintakes.com
AEM,Cold Air Intake System 37,21-5437C,Various,"High-performance intake system 37, washable filter.",536.99,aemintakes.com
AEM,Cold Air Intake System 38,21-5438C,Various,"High-performance intake system 38, washable filter.",537.99,aemintakes.com
AEM,Cold Air Intake System 39,21-5439C,Various,"High-performance intake system 39, washable filter.",538.99,aemintakes.com
AEM,Cold Air Intake System 40,21-5440C,Various,"High-performance intake system 40, washable filter.",539.99,aemintakes.com
AEM,Cold Air Intake System 41,21-5441C,Various,"High-performance intake system 41, washable filter.",540.99,aemintakes.com
AEM,Cold Air Intake System 42,21-5442C,Various,"High-performance intake system 42, washable filter.",541.99,aemintakes.com
